id,Tiêu_đề,Giá,Khoảng_giá_min,Khoảng_giá_max,Mô_tả_chi_tiết,Thương_hiệu,Dòng_xe,Năm_đăng_ký,Số_Km_đã_đi,Loại_xe,Dung_tích_xe,Xuất_xứ,Phân_khúc_giá,cc_numeric,price_segment_code,age,clean_text,is_moi,is_do_xe,is_su_dung_nhieu,is_bao_duong,is_do_ben,is_phap_ly,cluster_id
6188,Ban xe,2.5,2.5,2.5,"Do mình dư xe không dùng nữa, xe máy móc vẫn còn zin êm ru 
. Mình thanh lí gấp ae nào cần gọi trực tiếp mình ạ sđt:***(Phú)",Aprilia,2015 Rsv4 R Aprc Abs,2008,20,Tay Ga,50 - 100 Cc,Việt Nam,Phổ Thông,75,1,17.0,dư xe không xe_máy_móc zin êm_ru thanh_lí gấp anh_em điện_thoại phú,0,0,1,0,0,0,2
2735,Cần bán chiếc aprillia gt rs200 xe trùm mềm,81.0,81.0,81.0,"Xe nhà trùm mềm chỉ đẩy ra đẩy vô nay phụ huynh lớn tuổi đẩy ko nỗi nữa nên mong e nó theo về với người thật lòng , giá mong mún 89tr (có bớt chút tiền xăng) odo 5000km , màu đỏ cam đẹp giờ kiếm không ra",Aprilia,Sr Gt 200,2023,5000,Tay Ga,100 - 175 Cc,Việt Nam,Cận Cao Cấp,137,2,2.0,xe trùm mềm đẩy đẩy vô phụ_huynh lớn_tuổi đẩy không nỗi mong giá mong mún tr bớt chút tiền xăng odo km màu đỏ cam_đẹp kiếm không,0,0,0,0,0,0,0
5791,Bán xe Sr Gt 200 ít sử dụng do đi oto,72.0,69.0,81.0,"Xe biển hcm, ít sử dụng còn rất mới
Liên hệ: ***",Aprilia,Sr Gt 200,2022,10000,Tay Ga,100 - 175 Cc,Đang Cập Nhật,Cận Cao Cấp,137,2,3.0,xe biển hcm liên_hệ,0,0,0,0,0,0,0
839,Nâng cấp CC để lại BMW G310R đk 2023,78.4,72.13,84.67,"Xe tâm huyết rất ít chạy, chi tiết:
- 15xxx km
- đk 2023 (model 2017)
- sang tên 1% biển 59
- 1m6 chống chân được
- xăng + bảo dưỡng trung bình 1tr / tháng

Phụ kiện: 
- Gương zin + pô zin
- Gương đồ chơi + pô akrapovic carbon chính hãng full system
- Che cổ pô sợi carbon
- Tay thắng + tay côn + bình dầu + kính gù : RCB
- Ghi đông đồ chơi
- Ốp chắn gió
- Ốp gầm bảo vệ kim loại + ốp gầm zin
- Bảo vệ lốc máy
- Đèn chiếu sáng Atoplite (mới 100%) + đèn zin
- Cặp trợ sáng Future Eye
- Xi nhan đồ chơi trc sau
- Tay nắm zin + tay nắm baga zin GS 310 (gắn trực tiếp plug n play ko độ chế)
- Thùng Shad SH29 kèm tựa lưng cao su hãng + pad zin
- Chắn bùn
- Có dán keo trùm
- Yên bọc mới cho êm ái + thẩm mĩ
- Tặng bao tay Vquattro summer mới 100% có hoá đơn châu âu
- Decal đen nhám dàn áo

Ưu điểm:
- Bền dáng
- Torque cao
- Lợi xăng
- Nhẹ (gắn pô Akra xe chỉ quanh 150kg)
- Dễ lái, lanh lẹ
- Thương hiệu lớn, không đụng hàng

Nhược điểm:
- Vòng tua cao máy hơi gào (đặc tính kĩ thuật chung)
- Max speed 145km/h
- Cùng tầm tiền nhiều lựa chọn

Xem xe Q.7 - TpHcm - Nhanh gọn bớt thêm xăng xe nhớt lap, KO BỚT NHIỀU.",Bmw,Dòng Khác,2023,15600,Tay Côn/Moto,Trên 175 Cc,Đức,Cận Cao Cấp,200,2,2.0,xe tâm_huyết chạy chi_tiết xxx km đk model sang_tên biển m chống chân xăng bảo_dưỡng trung_bình tr phụ kiện gương zin pô zin gương đồ_chơi pô akrapovic carbon hãng full_system che cổ_pô sợi carbon thắng côn_bình dầu kính gù rcb ghi đông đồ_chơi ốp_chắn gió ốp_gầm bảo_vệ kim_loại ốp gầm_zin bảo_vệ lốc máy đèn chiếu atoplite đèn zin cặp trợ future eye xi nhan_đồ_chơi nắm zin nắm baga zin gs gắn plug n play không độ_chế thùng shad sh kèm tựa lưng cao_su hãng pad zin chắn bùn dán keo trùm yên_bọc êm_ái thẩm_mĩ tặng bao_tay vquattro summer hóa_đơn châu_âu decal đen nhám dàn áo ưu_điểm bền_dáng torque cao_lợi xăng nhẹ gắn pô akra xe quanh không lái_lanh lẹ thương_hiệu không đụng hàng nhược_điểm vòng tua máy hơi_gào đặc_tính kĩ_thuật max speed km h tầm tiền lựa_chọn xe q thành_phố hồ chí_minh gọn bớt xăng xe nhớt lap không bớt,1,0,0,0,0,0,0
3092,BMW GS1250 HP,300.0,189.77,222.77,"Bản GS1250 HP - ĐK 2020
Tình trạng xe:
- Odo: 20091Km
- HQCN , BS TP.HCM
- Khung chống đổ trước
- Khung chống đổ lốc máy
- Giá đỡ điện thoại
- Miếng dán màn hình
Xem xe trực tiếp tại Tp. Hồ Chí Minh 
Sđt: *** - Hải",Bmw,Dòng Khác,2020,20091,Tay Côn/Moto,Trên 175 Cc,Đức,Cao Cấp,200,3,5.0,gs hp đk xe odo km hqcn bs tp hcm khung chống đổ khung chống đổ lốc máy giá đỡ điện_thoại miếng dán màn_hình xe tp hồ chí_minh điện_thoại hải,0,0,0,0,0,0,0
4650,CẦN BÁN BMW G310R,90.0,189.77,222.77,"Tình trạng xe còn tốt 
Phù hợp với mọi địa hình",Bmw,Dòng Khác,2020,13000,Tay Côn/Moto,Trên 175 Cc,Đức,Cận Cao Cấp,200,2,5.0,xe tốt địa_hình,0,0,0,0,0,0,0
6681,Bán S1000RX Đổi Ôtô Mới Bảo Dưỡng xe 20 Ngày,265.0,243.8,286.2,"Xe zin 
Máy zin
Pô zin (có móc pô)
Kèm 2 thùng BMW + Khung",Bmw,Dòng Khác,2016,32000,Tay Côn/Moto,Trên 175 Cc,Đức,Cao Cấp,200,3,9.0,xe zin máy zin pô zin móc pô kèm thùng bmw khung,0,0,0,0,0,0,0
6979,GS1250 Bản HP,300.0,254.29,298.51,"BÁN GS1250 bản HP - Odo chuẩn 14k Km . 

Xe Date 12/2019 - Biển số SG 59 . 

Có 2 thùng GS-ADV + Gù nâng ghi đông Loboo . 

Xe zin . Mình đang sử dụng tốt mọi chức năng .

Giá : 435tr ( TL trực tiếp ) - Xem xe tại TPHCM

AE có nhu cầu LH : Duy - ***

Thanks ad duyệt bài !!!",Bmw,Dòng Khác,2019,14000,Tay Côn/Moto,Trên 175 Cc,Đức,Cao Cấp,200,3,6.0,gs hp odo chuẩn không km xe date biển thùng gs adv gù nâng ghi đông loboo xe zin tốt chức_năng giá tr trả_lời xe thành_phố hồ chí_minh anh_em nhu_cầu lh duy_thanks quản_trị_viên duyệt,0,0,0,0,0,0,0
5233,chính chủ bán xe bmw r nite t,300.0,368.0,432.0,"Bán xe bmw r nite t date 2020 odo 4000km, xe ít chạy chỉ cf cuối tuần chưa đi tua. Xe keng đẹp zing nguyên con",Bmw,R Nine T,2020,4000,Tay Côn/Moto,Không Biết Rõ,Đức,Cao Cấp,137,3,5.0,xe bmw nite t date odo km xe chạy cf tuần đi tua xe keng đẹp zing_nguyên,1,0,0,0,0,0,0
5426,"Bán BMW R NineT ga điện 2023 Chính hãng, BS Saigon",300.0,700.0,700.0,"Chính chủ không đi nên cần bán BMW R NineT cho anh em.
Mua mới chính hãng BMW Sala.
Ga điện đăng ký chính chủ tháng 06/2023. Mua mới đăng ký xong hết 750 triệu; xe lên full đồ chơi hơn hơn 400 triệu => tổng chi phí gần 1,2 tỷ.
Nay càn để lại cho anh em gia 700 triệu (chịu lỗ hơn 500 triệu).
Bớt cho anh em thiện chí mua.
Liên hệ xem xe: Chị Huyền (khong chin tam sau nam sau bay mot bay mot).",Bmw,R Nine T,2023,12000,Tay Côn/Moto,Trên 175 Cc,Đức,Cao Cấp,200,3,2.0,chủ không đi bmw ninet anh_em mua hãng bmw sala ga điện đăng_ký chủ mua đăng_ký xong triệu xe full đồ_chơi triệu tổng chi_phí tỷ càn anh_em gia_triệu lỗ triệu bớt anh_em thiện_chí mua liên_hệ xe huyền_khong chin tam nam bay mot bay mot,0,0,0,0,0,0,0
