cluster_id,Xuất_xứ,ratio
0,Việt Nam,0.29067930489731436
0,Nước Khác,0.2559241706161137
0,Đang Cập Nhật,0.21169036334913113
0,Nhật Bản,0.11690363349131122
0,Thái Lan,0.07424960505529225
0,Mỹ,0.02843601895734597
0,Đức,0.018957345971563982
0,Ấn Độ,0.00315955766192733
1,Việt Nam,0.4369002353793228
1,Nhật Bản,0.1928299837045084
1,Đang Cập Nhật,0.162592793771501
1,Nước Khác,0.10121310881767155
1,Thái Lan,0.048162230671736375
1,Đài Loan,0.019735650914358138
1,Trung Quốc,0.01665761361578852
1,Hàn Quốc,0.012855332246967228
1,Ấn Độ,0.003078037298569618
1,Mỹ,0.0025348542458808617
1,Đức,0.001810610175629187
1,Bảo Hành Hãng,0.0016295491580662683
2,Nhật Bản,0.33707865168539325
2,Việt Nam,0.2553626149131767
2,Đang Cập Nhật,0.11644535240040858
2,Trung Quốc,0.08069458631256383
2,Hàn Quốc,0.05822267620020429
2,Thái Lan,0.054136874361593465
2,Đài Loan,0.05311542390194075
2,Nước Khác,0.03677221654749745
2,Đức,0.0030643513789581204
2,Ấn Độ,0.0030643513789581204
2,Mỹ,0.0020429009193054137
